"V1","V2","V3","",""
-0.171434425014668,-0.0239912888329074,0.030704315481743,1,1
-0.0832347995191001,-0.114594963965546,0.000975781116983741,0,1
0.125583111603247,-0.00333667403308147,0.00826279864139732,2,2
0.285461290147276,0.00444830107480259,0.0857880791691703,2,2
-0.00612803948727957,0.351869771407812,-0.0145481814029295,3,3
0.0897788235054069,0.16950208624067,-0.061044136901757,3,3
-0.0386400159495992,-0.115672480616001,0.0793153226446897,0,1
0.180298775701825,-0.0326420347291498,0.000712713756246678,2,2
0.10983213671231,-0.0322917679199181,-0.0546694401910923,2,2
0.167522697068785,0.0934825187697515,-0.063482882081556,2,4
0.200983777239947,-0.0672228425917553,-0.00462116618861104,2,2
-0.0297789063661482,-0.0698091082767412,0.0430461371519181,1,1
-0.111613268146796,-0.0288680902283756,-0.0330609071164756,1,1
-0.00730071985133132,-0.0647589818535956,-0.0787318980637883,1,1
-0.0908532687618056,-0.0133646168395084,-0.101493721131087,1,1
-0.193837790485861,0.0462820395337439,0.0338196609584368,1,1
-0.0518177770282879,-0.00221328013707016,0.0161770701333551,1,1
-0.165780349793825,-0.00042470668998396,0.0733045354560079,1,1
0.00650263784358122,0.0729617669959015,-0.0427399129478953,1,1
-0.0841739633327252,0.0527738217674681,0.0693404398061894,1,1
0.0111519884463516,0.0454742363602341,0.056427680856128,1,1
-0.0657247543274769,-0.0775290968104534,-0.0292860334852568,1,1
-0.0413305526407582,-0.080273566553585,-0.00172367267339133,1,1
-0.019711975087274,0.0802803110731354,-0.0426813937387346,1,1
-0.186182085028338,-0.0462286029126634,0.0103524771097082,1,1
-0.0719310773653701,0.105490699084606,0.00204597415589154,1,1
-0.0831167617735511,0.033189245596361,0.00682522490020411,1,1
-0.0824823949137535,-0.0224872161202829,-0.0491159380987699,1,1
-0.0384620737650399,-0.063756479777276,-0.0568315083118246,1,1
-0.0830528858198207,0.0517616342736132,-0.0960189675719336,1,1
-0.0944854615081083,-0.0371415779700304,0.0859026078808825,1,1
-0.0624702040285624,0.0080317966311956,-0.0158792792180099,1,1
-0.149559670780989,-0.0863840012996497,-0.0507779684327203,1,1
-0.0199454893312275,-0.0321229648178821,-0.0908393445469928,1,1
-0.0594275573503134,0.0138760523631542,0.110287626882521,1,1
-0.0368077011166051,0.11055046454737,-0.0293556917195033,1,1
-0.0346471373213304,0.0507180127836324,0.0247533407939537,1,1
-0.0352292562513971,-0.00711523992045123,0.0127089445154286,1,1
0.00949622841952498,-0.0112583651135779,-0.0144093404592393,1,1
-0.0674380221480873,0.00322630905082741,0.0588079630922235,1,1
-0.103754939796048,0.0341321506895672,-0.020476049620222,1,1
-0.0947677987181515,0.0421596298403285,0.0137183989708445,1,1
-0.0492580459733288,-0.0121335890371032,0.0168017252347404,1,1
-0.0254625413845215,0.064811521748942,-0.00901013142966771,1,1
-0.074342960196322,-0.00290327066073962,-0.00999104618124902,1,1
-0.159114303358696,-0.0797102278104045,-0.0420155060889168,1,1
-0.0546400952310196,0.0464485994887878,0.133951190235003,1,1
-0.0385846359776104,-0.0382196601475438,-0.0523406501550928,1,1
