"V1","V2","V3","V4","V5","V6","matrix(predictedLabels, nrow(dataFrame), 1)"
0.2655086631421,0.0208156907465309,0.927315417211503,0.914797727018595,0.14666288997978,0,0
0.37212389963679,0.261497196741402,0.0888794311322272,0.379902058746666,0.965110890567303,0,0
0.572853363351896,0.120366872521117,0.186297232052311,0.629632442258298,0.357326834229752,0,0
0.908207789994776,0.755052499705926,0.860385096864775,0.385734976036474,0.200862487312406,0,0
0.201681931037456,0.168751874240115,0.234479405684397,0.542270160047337,0.700121179455891,0,0
0.898389684967697,0.846173611236736,0.449905752437189,0.492851863848045,0.177145838504657,0,0
0.944675268605351,0.241025532130152,0.642875439021736,0.148111721500754,0.601283062947914,0,0
0.660797792486846,0.379589573713019,0.7596528402064,0.486736153485253,0.996551070827991,0,0
0.62911404389888,0.990836540237069,0.619859113590792,0.830497456714511,0.858913001371548,0,0
0.0617862704675645,0.012903354363516,0.37622950761579,0.714390144916251,0.545766798080876,0,0
0.205974574899301,0.750820056535304,0.43052071146667,0.462727537145838,0.331158731132746,0,0
0.176556752528995,0.263118707807735,0.491279050474986,0.462808933574706,0.18416870222427,0,0
0.687022846657783,0.123130427673459,0.7774254726246,0.894080309197307,0.584230594569817,0,0
0.384103718213737,0.731578556355089,0.465578694129363,0.0629640410188586,0.548289436846972,0,0
0.769841419998556,0.266581872245297,0.728975185425952,0.66638072533533,0.546560650924221,0,0
0.497699242085218,0.353180496022105,0.0539053683169186,0.276579630328342,0.978683579014614,0,0
0.717618508264422,0.279266169061884,0.196222283644602,0.0302363603841513,0.358095692005008,0,0
0.991906094830483,0.819733653217554,0.206601955927908,0.89239597436972,0.502874743193388,0,0
0.380035179434344,0.091656468808651,0.718222713796422,0.0883363008033484,0.0347450389526784,0,0
0.777445221319795,0.158167489338666,0.615521391388029,0.123612797586247,0.0310779174324125,0,0
0.934705231105909,0.31597904721275,0.324194693705067,0.416051860665902,0.0427662683650851,0,0
0.212142521282658,0.577144707320258,0.569885421078652,0.0799360685050488,0.185174639336765,0,0
0.651673766085878,0.999253217829391,0.889803111786023,0.373528662836179,0.000773161649703979,0,0
0.125555095961317,0.803754302905872,0.722354283323511,0.447056408040226,0.327996313804761,0,0
0.267220668727532,0.32505887770094,0.00329813663847744,0.0169219705276191,0.328134174924344,0,0
0.386114092543721,0.157453543273732,0.719194017350674,0.323719996027648,0.243496510898694,0,0
0.0133903331588954,0.476655177539214,0.159382624085993,0.215478928759694,0.686329965479672,0,0
0.382387957070023,0.0066851309966296,0.833444684511051,0.447668415028602,0.828651208663359,0,0
0.86969084572047,0.466255066683516,0.594664815813303,0.140977394301444,0.814596738433465,0,0
