"V1","V2","V3","V4","V5","",""
-0.281359201208025,-0.010525454836696,0.0581029263287134,-0.55498146050828,-0.227830032313652,1,1
-0.158770693782123,0.050628682211614,0.0904106969086623,-0.503613428225916,-0.266877976581724,1,1
-0.120015399279932,-0.0216769894377717,0.0402822309487347,-0.44249499065957,-0.139401981107523,1,1
-0.192805479766302,0.0998423538642555,0.0230870810739978,-0.509014995195213,-0.205365255392397,1,1
-0.150840343409869,-0.0758892042489013,-0.0252659736117,-0.487558103308097,-0.249119506214673,1,1
-0.199049966893951,0.0886390163956024,0.0406318456700756,-0.497434520707686,-0.19766955681868,1,1
-0.161574194475115,-0.0339613761560111,-0.0137863458855498,-0.552624128672105,-0.278998904838038,1,1
-0.105835533656204,0.00466648845333511,-0.0693928190723976,-0.537195121401851,-0.262743592848466,1,1
-0.245473947296492,-0.0360604679681542,0.120316900697954,-0.442799892410893,-0.176095459453281,1,1
-0.154615237536817,-0.000886920319408558,-0.0234513073845794,-0.575775663025637,-0.236843403944878,1,1
-0.130748462078469,-0.0074111840088768,-0.066682831077342,-0.482713606967887,-0.172160895449631,1,1
-0.118667590732459,0.0378836258921583,0.0481016649976689,-0.587217294797319,-0.135481598652619,1,1
-0.203036468752763,0.0649721774097703,0.11320579206555,-0.542160322482085,-0.267836572921642,1,1
-0.130716033931148,-0.0129863609266758,-0.0514830407324079,-0.577681410787362,-0.183810110282947,1,1
-0.124780080347905,0.00156583698861904,-0.0147147902962142,-0.692125015741836,-0.223021944167683,1,1
-0.0580649943686391,0.030794131125434,0.0462711755574203,-0.541807975723027,-0.141343102229613,1,1
-0.152634896345925,0.0207615221294976,0.0561002442240119,-0.507476728000898,-0.242209788597223,1,1
-0.237056048696076,0.0301670221448263,0.0535962183464317,-0.584021060237321,-0.137541930574446,1,1
-0.195201115891674,0.0244156433111277,0.0494988425907422,-0.5168042715752,-0.247015683615314,1,1
-0.0431485040580682,-0.0730429663727073,0.0567632786639561,-0.524489407712956,-0.115358199535276,1,1
-0.259601190019702,-0.0282494980177324,-0.00786077137824243,-0.372801883510542,-0.214276587193965,1,1
-0.108614990873937,-0.0110848652988484,-0.0757693461051527,-0.485591274587341,-0.156078150930589,1,1
-0.185776604370435,0.00132330187548876,-0.03887983419914,-0.620613844759266,-0.220589108893438,1,1
-0.0982546633978159,0.104193960472136,-0.000493889723567407,-0.459846824067121,-0.186113300805768,1,1
-0.185751396167612,0.026214063810425,0.0787913242395581,-0.470273552433851,-0.228630038543973,1,1
-0.141953473079286,0.0786062931125095,0.0450595473912166,-0.555643648618283,-0.179933870441253,1,1
-0.143811876935636,0.0506102633831216,0.090172112709662,-0.539489713974119,-0.159689414475952,1,1
-0.175898222850061,0.0232099941109561,-0.0570288893288856,-0.537806271484758,-0.25138941698187,1,1
-0.20973552925055,0.0390600853010128,0.0110035583471057,-0.536354603688598,-0.136306808643551,1,1
-0.115655317239929,-0.012481859258989,-0.0626829487129233,-0.530258944644655,-0.16412182589871,1,1
-0.156960951765998,0.0479699225682191,0.0744605624496743,-0.54011575555832,-0.211598539994485,1,1
-0.194852245010335,0.0362494791049874,-0.0792755271750515,-0.452616565816869,-0.218993077282899,1,1
-0.146136968433515,-0.0580011913695202,0.0206456396453417,-0.475281425104234,-0.209315939898643,1,1
-0.254441278476879,0.0689262204765178,0.00735477579109043,-0.577744311030003,-0.173721990628459,1,1
-0.275418737459997,0.0467455803909122,-0.0414894553552682,-0.488418903029365,-0.213589787756697,1,1
-0.243270799119508,0.0700441509218981,0.0709859835498716,-0.550919010262153,-0.180542300581239,1,1
-0.186210672036209,-0.0689867668832104,-0.0851872793276334,-0.538964411532969,-0.225962507372469,1,1
-0.181423575372468,-0.00984912457394189,-0.00823851072381142,-0.509504191843674,-0.33667474628569,1,1
-0.193231131145615,0.0129496409772004,0.0728726921082675,-0.424204741684274,-0.319006000944462,1,1
-0.132103863852992,0.00332903479877914,-0.0513065512875709,-0.513754274732476,-0.140652644270545,1,1
-0.250707403669691,-0.0511650053691808,0.0195433532640371,-0.597054569041485,-0.166619809595421,1,1
-0.173745492917318,0.00167465242042396,0.0486208592356244,-0.507883925635669,-0.168569453963726,1,1
-0.137631566465378,0.0360094324521569,0.0162359261771507,-0.592357462225647,-0.1855243983429,1,1
-0.203241484674071,0.0313720400292197,-0.00493284724565088,-0.543823913885534,-0.117992051742977,1,1
-0.206855208634631,0.0449399651924768,-0.113434325617468,-0.463057229015359,-0.0983151721025814,1,1
-0.154639819300125,0.0531909277245296,0.0587752980485921,-0.531273793038977,-0.197553158137823,1,1
-0.226608631791042,-0.00795553669291705,0.0867369952017669,-0.522707814556503,-0.102408969212826,1,1
-0.100652582543131,-0.0174280971588642,-0.0644093154001458,-0.639050139107734,-0.27730794828251,1,1
-0.160606767396707,-0.00774688327208905,0.01478102145043,-0.588784410809588,-0.185434644825016,1,1
-0.180712429629214,0.0463387739825875,0.00207736798991761,-0.554572149428322,-0.292230639553378,1,1
-0.159951304070852,0.0324989934470739,0.0980746198427308,-0.531810565223991,-0.125008039848175,1,1
-0.174208096168534,0.0235248266632413,-0.10608508110935,-0.557028062264338,-0.125701604814885,1,1
-0.163100880606852,-0.0211204575092225,0.0601548244363563,-0.541760703097943,-0.182120579334728,1,1
-0.206891931881486,0.0694908073831773,-0.0222776310054001,-0.661996805967382,-0.225974258666236,1,1
-0.192370109645875,-0.00355126387562097,-0.0176163342323163,-0.513865300654495,-0.180979796219577,1,1
-0.21139628699727,-0.00666157664555932,0.136421428068941,-0.554986267790504,-0.202599709657583,1,1
