"V1","V2","V3","V4","V5","V6","V7"
-0.281359201208024,-0.0105254548366943,0.0581029263287142,-0.554981460508278,-0.227830032313654,1,1
-0.158770693782122,0.0506286822116123,0.0904106969086623,-0.503613428225917,-0.266877976581723,1,1
-0.120015399279931,-0.0216769894377726,0.0402822309487343,-0.442494990659569,-0.139401981107522,1,1
-0.192805479766303,0.0998423538642551,0.0230870810739962,-0.509014995195213,-0.205365255392397,1,1
-0.150840343409869,-0.0758892042489015,-0.0252659736116986,-0.487558103308096,-0.249119506214674,1,1
-0.199049966893951,0.0886390163956041,0.0406318456700761,-0.497434520707686,-0.197669556818678,1,1
-0.161574194475113,-0.0339613761560129,-0.013786345885551,-0.552624128672105,-0.27899890483804,1,1
-0.105835533656203,0.0046664884533345,-0.0693928190723976,-0.537195121401853,-0.262743592848466,1,1
-0.245473947296491,-0.036060467968154,0.120316900697955,-0.442799892410893,-0.176095459453283,1,1
-0.154615237536817,-0.000886920319408558,-0.0234513073845802,-0.575775663025638,-0.236843403944876,1,1
-0.130748462078468,-0.00741118400887801,-0.0666828310773422,-0.482713606967886,-0.17216089544963,1,1
-0.118667590732459,0.0378836258921599,0.0481016649976702,-0.587217294797318,-0.135481598652618,1,1
-0.203036468752764,0.0649721774097715,0.11320579206555,-0.542160322482086,-0.267836572921642,1,1
-0.130716033931149,-0.012986360926676,-0.0514830407324075,-0.577681410787364,-0.183810110282947,1,1
-0.124780080347906,0.00156583698861925,-0.0147147902962137,-0.692125015741834,-0.223021944167685,1,1
-0.0580649943686379,0.0307941311254344,0.0462711755574203,-0.541807975723029,-0.141343102229614,1,1
-0.152634896345927,0.0207615221294976,0.0561002442240114,-0.507476728000898,-0.242209788597224,1,1
-0.237056048696077,0.0301670221448263,0.0535962183464334,-0.584021060237319,-0.137541930574446,1,1
-0.195201115891675,0.0244156433111285,0.049498842590743,-0.516804271575199,-0.247015683615315,1,1
-0.0431485040580684,-0.0730429663727085,0.0567632786639549,-0.524489407712956,-0.115358199535275,1,1
-0.259601190019703,-0.0282494980177316,-0.0078607713782416,-0.372801883510542,-0.214276587193964,1,1
-0.108614990873937,-0.0110848652988501,-0.0757693461051529,-0.485591274587341,-0.156078150930589,1,1
-0.185776604370434,0.00132330187548896,-0.0388798341991415,-0.620613844759267,-0.220589108893437,1,1
-0.0982546633978143,0.104193960472136,-0.000493889723568649,-0.459846824067121,-0.186113300805767,1,1
-0.185751396167614,0.0262140638104254,0.0787913242395581,-0.47027355243385,-0.228630038543973,1,1
-0.141953473079285,0.0786062931125099,0.0450595473912162,-0.555643648618284,-0.179933870441254,1,1
-0.143811876935638,0.0506102633831208,0.0901721127096603,-0.539489713974118,-0.15968941447595,1,1
-0.175898222850062,0.0232099941109565,-0.0570288893288856,-0.537806271484758,-0.251389416981871,1,1
-0.209735529250549,0.0390600853010112,0.0110035583471041,-0.536354603688599,-0.136306808643549,1,1
-0.115655317239928,-0.01248185925899,-0.0626829487129235,-0.530258944644657,-0.164121825898709,1,1
-0.156960951765998,0.0479699225682179,0.074460562449673,-0.54011575555832,-0.211598539994485,1,1
-0.194852245010334,0.0362494791049866,-0.0792755271750513,-0.452616565816871,-0.218993077282898,1,1
-0.146136968433515,-0.0580011913695198,0.0206456396453429,-0.475281425104234,-0.209315939898643,1,1
-0.254441278476877,0.0689262204765182,0.00735477579109126,-0.577744311030004,-0.17372199062846,1,1
-0.275418737459995,0.046745580390911,-0.0414894553552686,-0.488418903029364,-0.213589787756699,1,1
-0.243270799119509,0.0700441509218993,0.070985983549872,-0.550919010262153,-0.180542300581239,1,1
-0.186210672036208,-0.0689867668832102,-0.0851872793276345,-0.538964411532969,-0.22596250737247,1,1
-0.181423575372469,-0.00984912457394209,-0.00823851072381267,-0.509504191843674,-0.336674746285689,1,1
-0.193231131145614,0.0129496409772008,0.0728726921082662,-0.424204741684276,-0.31900600094446,1,1
-0.132103863852992,0.00332903479877914,-0.0513065512875713,-0.513754274732475,-0.140652644270545,1,1
-0.250707403669692,-0.051165005369181,0.0195433532640355,-0.597054569041485,-0.166619809595421,1,1
-0.173745492917319,0.00167465242042517,0.0486208592356227,-0.507883925635669,-0.168569453963726,1,1
-0.137631566465377,0.0360094324521553,0.016235926177149,-0.592357462225647,-0.185524398342901,1,1
-0.203241484674072,0.0313720400292188,-0.00493284724565171,-0.543823913885534,-0.117992051742976,1,1
