"V1","V2","V3","V4","V5","V6","V7","V8"
-0.273004826603593,-0.0134734807626883,-0.0190093360416534,-0.549082407588906,-0.103732228645436,0.466387305657976,1,1
-0.178243151547681,-0.0714072855764711,-0.000121686821948756,-0.459196460217817,-0.21854608243146,0.47482269963264,1,1
-0.103302044488846,0.0412425132325107,-0.0553073025968985,-0.497770033621861,-0.170560372860956,0.402245886837467,1,1
-0.212504522396287,-0.072633265703911,-0.0422722590751323,-0.516528394532153,-0.155415035167193,0.418897163792797,1,1
-0.249073196315711,-0.0145094889559711,-0.0546003323324494,-0.545788020698124,-0.138535852717406,0.517924245984559,1,1
-0.194571956404581,0.0765803441891498,0.0367226189666567,-0.538776571108618,-0.183730204561455,0.39820374099506,1,1
-0.164472181653863,0.0607211385931749,0.00122931472200789,-0.442296729557665,-0.148233492934394,0.39308837197214,1,1
-0.142565182601938,0.149402192208928,0.0144170145982744,-0.391244722355771,-0.20277239758035,0.457504533925362,1,1
-0.199062618218693,-0.0267963046973538,0.060808945121116,-0.524018961989819,-0.161085501378248,0.49329263949679,1,1
-0.192308738708322,-0.000505238000971525,-0.0311137672206165,-0.451824006193768,-0.165661503382504,0.495131583618027,1,1
-0.262938413888114,-0.0139290071963678,0.0268164686851679,-0.58167574774222,-0.194070168049459,0.361739418546837,1,1
-0.133780439795843,0.118591148958076,-0.00726514419128357,-0.600412571095578,-0.232330721215106,0.423110146632275,1,1
-0.0786208060353087,0.0369749767766302,-0.0348281651115594,-0.55653829470008,-0.238060959103694,0.470832078188071,1,1
-0.0622060293488372,0.115889231932415,0.0817622808506464,-0.620313367282093,-0.228133279328716,0.466789971695839,1,1
-0.188545228427715,0.0778330495667464,0.00843699063983041,-0.499587668128199,-0.20917799204832,0.453614164683018,1,1
-0.270667258893837,0.000627757273801062,-0.0321479186128539,-0.560801213547448,-0.185698067225977,0.420779497995932,1,1
-0.145024524104106,-0.0720078044987282,-0.133266255648629,-0.557511807274498,-0.171709678712045,0.54831467725542,1,1
-0.184659168750327,-0.0203242470273128,-0.0708180669203173,-0.570553768577103,-0.271338880087682,0.440303959743845,1,1
-0.253020502790911,-0.0680080738858215,0.0586136058004423,-0.492097033504413,-0.201507436727245,0.502830767115597,1,1
-0.188599282250404,-0.0401060188398774,0.055965183331534,-0.342628668499569,-0.270493201434182,0.429887409887772,1,1
-0.284352912265429,0.0184249652670043,-0.0124540579974894,-0.486283791965277,-0.176588827078579,0.389677901030427,1,1
-0.0824307184503245,0.0486882465685729,0.0962295665707567,-0.580465780901525,-0.21301931361217,0.39178840067774,1,1
-0.256566898879432,0.00826932179915569,-0.066908679889259,-0.524811930896483,-0.244481784059786,0.390039914950002,1,1
-0.107305158493804,-0.0498797026005537,0.0555054747164367,-0.456066342379048,-0.254926390486581,0.358848538931645,1,1
-0.127754256740303,0.0119749408129652,0.0824097442979993,-0.501618269594733,-0.313773134225312,0.508103596425066,1,1
-0.104541465530834,-0.0243404743705833,-0.0516724311919549,-0.516792705768998,-0.180661359041387,0.466905209492951,1,1
-0.0908150444393256,0.000322326734488959,0.0146056739425309,-0.503931542628883,-0.130223773367267,0.433292696336647,1,1
-0.166141249526237,0.0577018400196889,-0.0490605377644869,-0.522600511135395,-0.0995108528291596,0.496889845090645,1,1
-0.205336500246853,0.0716833105377323,0.041104605081708,-0.459373512918901,-0.230074511637499,0.54463938495662,1,1
-0.21829699101849,-0.0678022238522718,0.108861651228557,-0.564228485834913,-0.281759143098593,0.466525854005143,1,1
-0.237266009704704,0.0445751277503755,0.0297352595926036,-0.463730290146039,-0.16765820748818,0.458849872106173,1,1
-0.092933684218194,0.066848580401212,0.132025718888777,-0.543674246616986,-0.140986883248908,0.364124127171749,1,1
-0.138706818952863,-0.0448770777968151,0.0942709862839533,-0.528252728112714,-0.153955882601589,0.513925906445283,1,1
-0.241953432658455,0.0239335169542348,-0.0212919758181678,-0.389560175837703,-0.221206649149289,0.318152330700869,1,1
-0.14247627072798,0.0553848507138205,-0.00963868245768095,-0.520818814009173,-0.235784648091628,0.479683371296688,1,1
-0.12491885849719,0.0424762639888776,0.0632462578098851,-0.554534167754067,-0.23348241091089,0.493609299807067,1,1
-0.174978887655793,0.0392538394174903,-0.0404975628422323,-0.450735344764377,-0.171620948582868,0.548017328035418,1,1
-0.153912998464738,-0.000497568873134347,0.0368083002403429,-0.523415642817581,-0.142120724408955,0.441330497303487,1,1
-0.231627136778435,-0.0546720290883862,0.0240430997257438,-0.383757155592143,-0.190386025679131,0.568310709649545,1,1
-0.147536300120134,0.00478089891260806,0.028259939564735,-0.632707119971991,-0.121762117511639,0.466375539918374,1,1
-0.175619009356406,0.0173938437798962,0.115124551705725,-0.458414152878885,-0.177124536491544,0.441162155013962,1,1
-0.210738633064774,0.09624603867129,-0.0227403627749129,-0.511174792474453,-0.153430912273952,0.448227473868301,1,1
-0.155665066511908,-0.00805833817867353,0.08724661117416,-0.566186960544844,-0.167158223628875,0.431179717153028,1,1
-0.121698820449726,-0.0680954325690337,-0.0677173707736377,-0.580672999684191,-0.164023861024225,0.503770245493019,1,1
-0.198432268202528,0.05913020660864,-0.0185931545502098,-0.55343012320138,-0.196311456341199,0.387968677985382,1,1
-0.250885466829994,-0.0482785535818538,-0.0182884937531676,-0.463875772538792,-0.079747208770277,0.396181609411445,1,1
-0.245830977048899,-0.10922120641461,0.0180751058298912,-0.535418368401523,-0.201007103831884,0.574748185922399,1,1
-0.195665912021745,-0.0908413559934953,-0.00884020648402889,-0.58447461431507,-0.186385593358605,0.505276845762204,1,1
-0.168768461761189,-0.0335002746902999,0.0799722675739595,-0.517838056133038,-0.326044044543382,0.512762465460409,1,1
-0.158856980215301,0.100898165329587,-0.0215523008282098,-0.604186614256962,-0.273740992966805,0.361271373580277,1,1
-0.141274121513311,-0.0362857269638454,0.0963853326847462,-0.574544338872726,-0.159735923977387,0.463962018410627,1,1
-0.182960721119018,-0.0572672182477582,-0.0308367794971322,-0.578893900508929,-0.281065132067277,0.478273329988263,1,1
-0.187027849914191,-0.0523451133846336,0.0533365864060525,-0.470557188917542,-0.153118369444905,0.438743749262215,1,1
-0.115647890927927,-0.0445252624453438,-0.0344244427277294,-0.43431150221861,-0.219500420249647,0.467687550996425,1,1
-0.186467044572888,-0.0200819310049275,0.108531370532894,-0.491953915336642,-0.249234346442842,0.390173267981485,1,1
