"V1","V2","",""
-0.072270850959165,-0.0369284668288663,1,1
-0.158936827010725,0.0588842709318932,1,1
0.0260858156193721,0.0269326592243298,2,2
0.050815878190782,0.196534740951772,3,3
0.0392057933243847,0.0353733897857906,2,2
-0.126206196539518,0.307294161493409,3,3
-0.0365632705157046,0.286126337382638,3,3
-0.276852029383091,0.011191318760329,1,1
0.0170148430026382,0.35165804927704,3,3
-0.128599349870796,0.0217103601266296,1,1
0.132728060865857,0.0250579209973217,2,2
-0.0383016524089186,0.266006434032118,3,3
0.230067242413199,0.321468418358549,4,4
0.00183483123116737,0.357125486316781,3,3
0.182789370813089,0.0879235871763683,2,2
-0.0126313010563575,0.209573699908559,3,3
0.0613587513745469,0.20592922259242,3,3
-0.0817298048213165,0.218575601134986,3,3
-0.195986060562617,-0.017824849498466,1,1
0.0210522681442856,0.285087732667396,3,3
0.00870991436012469,0.29852967902644,3,3
0.071584261725594,-0.0201367481576361,2,2
-0.000999835672980559,0.311278501031579,3,3
0.344377655851682,0.28242297000536,4,4
-0.00646391753654947,0.159359035088852,0,3
-0.074738148362867,-0.030944816408454,1,1
-0.17593292180332,0.0454131029465465,1,1
-0.0024863183007419,0.322470529942733,3,3
0.0478534356082449,0.0923279145732942,2,2
-0.0684380498469199,0.0602712107151762,1,1
0.310492624260174,0.27317331257361,4,4
0.0540077262448928,-0.0640835314753727,2,2
-0.0365637295727219,0.235667888085676,3,3
0.356466991153737,0.326366862106742,4,4
0.313949796239783,0.185808628166432,4,4
0.116117625729024,0.112413162445002,2,2
-0.209356613819685,0.0690461410262218,1,1
0.211473262630942,0.1722392483605,4,4
-0.0574187179051164,0.000295463931786785,0,1
0.00465548544105683,0.178552123656412,3,3
0.138187756655991,0.0807714333233547,2,2
0.227698402981728,0.0718095883957076,2,2
0.273935059442387,0.185128509939747,4,4
0.17180177405146,0.139033543306397,0,5
0.248031468940608,0.326615307648975,4,4
-0.0503680849235901,0.0128762459387131,0,1
0.00567471845276459,0.385197411651685,3,3
0.3215659560718,0.351520540036769,4,4
0.376558561725347,0.300657376083517,4,4
0.149368289736546,0.108209269534798,2,2
0.19205412828298,-0.000980390903117199,2,2
-0.12024074549854,0.0449656598330009,1,1
0.0457713897153433,0.293013736312395,3,3
0.0682159728579765,0.100145588879006,2,2
0.193791218707099,0.111307934577609,2,2
0.190933112741929,0.226744714698044,4,4
0.210892678540551,0.0760882930503942,2,2
-0.0827490021945866,0.011156716307433,1,1
-0.0114664409031446,0.0465439536321512,0,2
0.222535882546455,0.355990064971047,4,4
-0.169254021485252,-0.0050455610619124,1,1
0.221115628015296,0.0334141056468989,2,2
0.160246165931119,0.142033531465254,0,5
-0.113976444096126,0.309563356904364,3,3
-0.00500653369311893,0.264612911211709,3,3
0.0377266063939265,0.0943476187014042,2,2
-0.0460908741911451,0.176824128133341,3,3
-0.0085699226419496,0.248802003353277,3,3
0.0171218754132568,0.344786189548611,3,3
0.0312592176576011,0.0921996613978951,2,2
0.000423093438066486,0.333983219609259,3,3
0.221632538097118,0.325161896837066,4,4
-0.0840728072340371,0.0234631187526402,1,1
-0.0641707109616979,0.0329027993366785,1,1
0.0896020070039171,0.0629522784118527,2,2
0.0210317802853184,0.0961239121415032,2,2
0.345980987582559,0.23229909077012,4,4
-0.0867626777116899,-0.0509970195722207,1,1
-0.0879067725352444,0.0690510211490796,1,1
0.288839623426469,0.212667922944274,4,4
0.287948072754384,0.220956027532912,4,4
-0.0637326449833966,-0.0238208436567884,1,1
0.120016079631662,-0.0286594889490403,2,2
0.124787082979384,-0.0177717201381104,2,2
0.233726366387921,0.300840501520291,4,4
0.00959688888711117,0.246375421806912,3,3
0.209328335260445,-0.0241872379610966,2,2
-0.265403184688014,0.0341689130499675,1,1
-0.0956136449190486,-0.0403737075224297,1,1
0.140162502849991,0.0274926207245529,2,2
-0.167389387032592,-0.010737992280418,1,1
0.297393304969511,0.282305598443422,4,4
0.0468412887058857,0.33489601468764,3,3
-0.00804334351258605,0.186451845571001,3,3
0.0718689415653991,-0.0677656250288645,2,2
0.276981147135116,0.353034241315576,4,4
