"V1","V2","V3","V4"
-0.0722708509591664,-0.0369284668288669,1,1
-0.158936827010724,0.0588842709318923,1,1
0.0260858156193717,0.0269326592243315,2,2
0.0508158781907828,0.196534740951773,3,3
0.0392057933243831,0.0353733897857902,2,2
-0.126206196539519,0.307294161493409,3,3
-0.0365632705157036,0.286126337382638,3,3
-0.27685202938309,0.0111913187603274,1,1
0.0170148430026366,0.351658049277041,3,3
-0.128599349870795,0.0217103601266304,1,1
0.132728060865855,0.0250579209973217,2,2
-0.0383016524089176,0.266006434032118,3,3
0.230067242413198,0.321468418358551,4,4
0.00183483123116818,0.357125486316782,3,3
0.182789370813088,0.0879235871763692,2,2
-0.0126313010563583,0.209573699908557,3,3
0.0613587513745457,0.20592922259242,3,3
-0.0817298048213169,0.218575601134987,3,3
-0.195986060562615,-0.0178248494984665,1,1
0.0210522681442852,0.285087732667396,3,3
0.0087099143601255,0.298529679026441,3,3
0.0715842617255948,-0.0201367481576353,2,2
-0.000999835672982177,0.311278501031578,3,3
0.344377655851683,0.282422970005361,4,4
-0.00646391753655068,0.15935903508885,0,3
-0.074738148362866,-0.0309448164084524,1,1
-0.17593292180332,0.0454131029465482,1,1
-0.00248631830074089,0.322470529942734,3,3
0.0478534356082433,0.092327914573293,2,2
-0.0684380498469203,0.060271210715177,1,1
0.310492624260176,0.273173312573612,4,4
0.0540077262448924,-0.0640835314753732,2,2
-0.0365637295727217,0.235667888085675,3,3
0.356466991153739,0.326366862106742,4,4
0.313949796239783,0.185808628166433,4,4
0.116117625729023,0.112413162445003,2,2
-0.209356613819684,0.0690461410262218,1,1
0.211473262630943,0.1722392483605,4,4
-0.0574187179051158,0.000295463931788443,0,1
0.00465548544105541,0.178552123656414,3,3
0.138187756655992,0.0807714333233535,2,2
0.22769840298173,0.071809588395706,2,2
0.273935059442387,0.185128509939746,4,4
0.17180177405146,0.139033543306397,0,5
0.248031468940609,0.326615307648974,4,4
-0.0503680849235897,0.0128762459387131,0,1
0.00567471845276338,0.385197411651684,3,3
0.3215659560718,0.351520540036768,4,4
0.376558561725349,0.300657376083515,4,4
0.149368289736548,0.108209269534798,2,2
0.19205412828298,-0.000980390903115541,2,2
-0.120240745498539,0.0449656598330025,1,1
0.0457713897153433,0.293013736312394,3,3
0.0682159728579757,0.100145588879006,2,2
0.193791218707097,0.111307934577607,2,2
0.19093311274193,0.226744714698043,4,4
0.210892678540552,0.0760882930503942,2,2
-0.0827490021945872,0.011156716307434,1,1
-0.0114664409031446,0.0465439536321495,0,2
0.222535882546457,0.355990064971046,4,4
-0.169254021485252,-0.00504556106191261,1,1
0.221115628015297,0.0334141056468976,2,2
0.160246165931118,0.142033531465253,0,5
-0.113976444096126,0.309563356904365,3,3
-0.00500653369311833,0.264612911211709,3,3
0.0377266063939282,0.0943476187014034,2,2
-0.0460908741911437,0.176824128133341,3,3
-0.00856992264195,0.248802003353277,3,3
0.0171218754132556,0.344786189548609,3,3
0.0312592176576019,0.0921996613978951,2,2
0.000423093438068307,0.333983219609258,3,3
0.221632538097119,0.325161896837066,4,4
-0.084072807234036,0.0234631187526415,1,1
-0.0641707109616983,0.0329027993366802,1,1
0.0896020070039183,0.0629522784118531,2,2
0.021031780285318,0.0961239121415036,2,2
0.34598098758256,0.232299090770121,4,4
-0.0867626777116911,-0.0509970195722217,1,1
-0.0879067725352448,0.0690510211490812,1,1
0.288839623426467,0.212667922944274,4,4
0.287948072754383,0.220956027532912,4,4
-0.0637326449833969,-0.023820843656787,1,1
0.120016079631661,-0.0286594889490422,2,2
0.124787082979385,-0.017771720138109,2,2
0.233726366387919,0.300840501520291,4,4
0.00959688888711077,0.246375421806911,3,3
0.209328335260444,-0.0241872379610974,2,2
-0.265403184688015,0.0341689130499662,1,1
-0.0956136449190488,-0.0403737075224285,1,1
0.140162502849991,0.0274926207245541,2,2
-0.16738938703259,-0.0107379922804188,1,1
0.297393304969511,0.282305598443422,4,4
0.0468412887058845,0.334896014687641,3,3
-0.00804334351258463,0.186451845570999,3,3
0.0718689415653975,-0.0677656250288631,2,2
0.276981147135116,0.353034241315574,4,4
-0.264912507890427,-0.0380103015743763,1,1
-0.230831214574347,-0.0331906908475385,1,1
0.0396034682248343,-0.0452492197349887,2,2
-0.154561511296286,-0.0628484466159289,1,1
-0.268518345612615,0.031977010300958,1,1
-0.2487742667786,-0.0407512885565355,1,1
0.172742975006905,-0.0150738806048724,2,2
0.186950082887053,0.0819527516421666,2,2
-0.0718177913810327,-0.0330768320352383,1,1
0.123250400218085,0.0620597435799052,2,2
0.0537920313893998,-0.019434332967759,2,2
0.311200848263479,0.19605034399019,4,4
-0.151019320429571,0.0865217340714285,1,1
0.381886256985169,0.254278467837959,0,4
0.0713322165122521,-0.0367125652908407,2,2
-0.051632453534411,0.29163835444032,3,3
0.226918446440282,0.277858839012807,4,4
-0.135938661833946,-0.0310949293005489,1,1
-0.159929994747975,-0.0973961246069688,0,1
0.182632076325929,-0.00748004607764762,2,2
0.180919482236479,-0.0364020142306724,2,2
0.315880253189682,0.281781310345747,4,4
0.00829975327848974,0.196483504877412,3,3
0.0853424440863739,0.0862140837896681,2,2
-0.162213577702752,0.0979124406598452,1,1
-0.0763383523965735,0.316485606900327,3,3
-0.0145500838723302,0.326198582187991,3,3
0.178539381907253,0.00692943027534278,2,2
