"V1","V2","V3","V4","",""
-0.227358217699825,-0.00238277421023633,-0.00793841668595149,-0.522615604115835,1,1
-0.190541266186994,-0.0329121463130872,0.0854896533431389,-0.551667668711844,1,1
-0.142703417574446,-0.0113715378057053,0.0370426088796855,-0.605116107061519,1,1
-0.157106931768374,-0.0326244848116903,0.0456151228041049,-0.548166162213681,1,1
-0.113115156799831,-0.0353780559845262,0.0120288893846096,-0.533038693750217,1,1
-0.194361499579348,-0.011513785069493,0.0142805843286591,-0.573139847406773,1,1
-0.159467824650124,0.0477493350692835,-0.000130059616071731,-0.49662842864108,1,1
-0.1646124342154,0.0466597787380953,0.0565669906727279,-0.486958736597649,1,1
-0.190430601683682,0.0381154890483406,-0.0546696266007994,-0.534471808897144,1,1
-0.268426495307211,0.0202913900690276,-0.0698732936005242,-0.576442998801552,1,1
-0.194810418534034,0.0348347132279387,0.0140630148973157,-0.586235232915805,1,1
-0.144813602468255,0.0761577162767459,-0.0441431873779919,-0.576219781997518,1,1
-0.12281233727498,-0.0298384148888982,-0.0363930077567535,-0.396739449826214,1,1
-0.18567838537715,-0.0570341734683679,0.0581528369333439,-0.564145673748662,1,1
-0.117356403429243,-0.0667219384264239,0.0973754527993379,-0.552673241542995,1,1
-0.142183550027171,-0.0336059564073777,0.0284066288316783,-0.496629399356698,1,1
-0.216060697028914,0.0653811771152102,0.0409811629885652,-0.488989869450254,1,1
-0.17231819467565,0.0353330782246523,-0.0128348698639328,-0.540626272751618,1,1
-0.158874624901048,0.000528591174806895,0.0853647880058683,-0.628733241219803,1,1
-0.232498304787672,0.0294122988538367,-0.0324192143964636,-0.420659370936744,1,1
-0.137296539638016,0.0373709319943854,0.0129458611113564,-0.429928970956501,1,1
-0.203438335204342,-0.0533401523646217,0.0609110321625229,-0.517922541326985,1,1
-0.159462772113019,0.0693300648533876,-0.0681655533941287,-0.456598127624502,1,1
-0.113541382569908,0.0516073774319136,0.0407609989911362,-0.588332826220031,1,1
-0.0960963446208325,-0.0852820160387635,0.0379393244729596,-0.46429083283815,1,1
-0.121577971291115,-0.0121333668779166,0.0902698445337857,-0.580255898239666,1,1
-0.104225719257756,-0.0303912842267311,0.0583248165883472,-0.542052748961901,1,1
-0.079618265897355,0.0949489823133617,-0.00047532366638412,-0.463926831833354,1,1
-0.205017459211779,0.0154027039534953,0.00477543246294986,-0.509607163141372,1,1
-0.26761059030358,-0.0505760735279219,-0.0686592849334983,-0.483720339696248,1,1
-0.176657051903754,0.0480820534524979,0.0410759197278357,-0.530030932923063,1,1
-0.198352919635026,-0.049766332897959,0.0470354042173284,-0.453415706057716,1,1
-0.232033744534662,-0.00488460432660346,-0.0268338757058284,-0.54882681722199,1,1
-0.248661500893465,0.06156290874601,0.00785630479444487,-0.524148880041145,1,1
-0.184226740733885,-0.0833048065323071,0.0200567364483402,-0.45578617205353,1,1
-0.232600268977765,-0.0538661588910853,0.0649312355055621,-0.407609300433588,1,1
-0.227627052780874,0.105844096331495,0.0189932256702156,-0.479173137991989,1,1
-0.165154983241675,0.0268844735886731,0.108606463433061,-0.630124285889461,1,1
-0.165276196582747,0.0249842583669471,-0.0699524070377039,-0.579208093741902,1,1
-0.122054358285369,-0.0103831982392036,0.0492610429213904,-0.642025712069894,1,1
-0.100092637043662,0.058543830993016,-0.07447320155317,-0.563870408140426,1,1
-0.0754310326910192,0.00680760532767269,0.0159945079213299,-0.489555683478606,1,1
-0.225475121365266,-0.00517762614568951,0.0232830429706572,-0.554151320596412,1,1
-0.12389230073804,0.024322871363282,0.0389186038513718,-0.48233562085797,1,1
-0.144145132076626,0.0782279148059637,0.0937559474492915,-0.511470507484561,1,1
-0.164704224086976,0.0315619841833394,-0.0563485271180945,-0.567406147409814,1,1
-0.107107349466747,0.0296915273364746,0.0520746807098534,-0.552076013454435,1,1
-0.179176246811569,0.0860122282955348,0.018419555066771,-0.549199396785027,1,1
-0.206298210857401,-0.0328819762130186,0.0681613204104565,-0.557498211367432,1,1
-0.23194768388201,0.0253655693724727,-0.0393851589880486,-0.568532303913687,1,1
-0.132132208109742,0.0535140741133252,0.0545710083947724,-0.553442322502723,1,1
-0.258630688136306,0.00685854665849789,0.0607480467705173,-0.441927421511017,1,1
-0.275387223660373,-0.0206892965224371,-0.0792965031222139,-0.571058396526567,1,1
-0.153643822147422,-0.0634098952056658,0.0148716352314162,-0.517831822698307,1,1
-0.187009514786227,-0.00145070157240819,0.0499863706841027,-0.473792677648438,1,1
-0.123735626931213,0.00905312673390629,0.0342686229550963,-0.418983204144497,1,1
-0.177408448910591,0.015995193380625,0.102728721722174,-0.476060689205389,1,1
-0.167269939872573,0.0305507859809324,0.0747418987139728,-0.549045990541605,1,1
-0.166443946770607,0.0374274558221777,0.0433501441778022,-0.448092807306348,1,1
-0.155190513209073,0.028674650143396,0.0717097606346224,-0.412750942690287,1,1
-0.176694265852849,0.102513714994414,0.0581238106082249,-0.51891088644232,1,1
-0.301467038152536,0.0469353418821657,0.0691686958715875,-0.477945799398714,1,1
-0.122653765704651,0.0992372083432038,-0.0441564073325546,-0.495394663066511,1,1
