"V1","V2","V3","",""
-0.227877872880907,-0.0343489863484666,0.0727071369807835,1,1
0.375186273001085,0.308463187462572,0.101025342755986,4,2
0.185874996444456,0.311824345747493,-0.0643521088224018,4,2
0.305276677660793,0.154283410253299,-0.0200385093989085,4,2
0.332037315384133,0.350777270454143,0.048704593463093,4,2
0.0121795007508393,0.313286591868264,0.101676414690193,3,3
0.218569502679525,0.219801084282216,-0.0658957783466578,4,2
0.141302199420192,0.119641465855574,-0.067794068214334,0,2
0.208653822094378,-0.107915243979722,0.0464666969121026,0,2
0.23621791770775,0.0297033015144683,-0.0241792299918907,2,2
-0.137248244529285,0.263617379692778,0.0987832031760788,0,5
0.279411560957068,0.043008353949324,0.0261384013516307,0,2
-0.0656252945216097,0.0452905564885301,0.00905126491087141,1,1
-0.0613876150765326,-0.0374458368106178,0.118527544123058,1,1
0.0635672135705733,0.0916778119417286,0.0343881785081093,2,2
0.286682508390879,0.229593161411458,0.156554863209998,0,2
0.233601705485404,-0.0870329538896642,-0.0397814182252717,2,2
0.331477614430133,0.236628239744798,0.120054530928445,4,2
0.012996788794238,0.00499623255334906,0.0613133692404081,1,2
-0.0515628973182569,-0.0431947681904808,0.0438308895515956,1,1
-0.0411763645244407,-0.00202633903084996,0.0183370220387019,1,1
-0.0945237138435348,0.00122729862121895,0.0436012617420986,1,1
-0.123458821521503,-0.00163195602876416,-0.0675673231752015,1,1
-0.214122987934084,0.0270071902129319,0.123575487202862,1,1
-0.0948104511769965,0.0154422945182815,0.0577693789071975,1,1
-0.141983983948588,0.0179384244686879,0.0833138921512243,1,1
-0.062656681406005,-0.00705086640162781,-0.00419156014881895,1,1
-0.18395875359423,-0.0258310484239813,0.0342496719512554,1,1
-0.0193780957710739,0.0213545331030276,0.0188602924759169,1,1
-0.0764730691825548,-0.038555192848508,0.0257275476507373,1,1
-0.119830875904393,0.0232688431273024,-0.0558943223670506,1,1
-0.12810056550518,-0.014834720087515,0.0454528452373611,1,1
-0.1166933643399,0.0847111946667006,0.0373235236891172,1,1
-0.130104368395754,0.0551380761988778,0.0208798648337118,1,1
-0.172152089187723,0.0266497551626284,0.046009140569545,1,1
-0.136111738805945,-0.0625241457445193,0.0483357275807557,1,1
-0.208741645691384,0.0345274590192308,0.0109401825423408,1,1
-0.214583310827839,0.00945302932710894,0.140753255388984,1,1
-0.1940298293277,-0.00712377130530385,0.0689484263211106,1,1
-0.104662145071814,0.0766110279516426,0.0563904269140981,1,1
-0.136893731106216,0.0721855206536125,0.0656148683200462,1,1
-0.0603809942479943,0.0276763642919044,0.0526055628971167,1,1
-0.147261927768606,-0.0463186065522194,0.113138763400174,1,1
-0.117414654712835,0.0633730320818773,-2.05585843478177e-05,1,1
-0.125717199135925,-0.000975247464129623,0.0341362940391614,1,1
-0.145970803215674,-0.0272841488935235,0.117588826568873,1,1
-0.152171147964213,0.061095780101277,3.30160672264476e-05,1,1
-0.0549303837408166,0.0337667596774539,0.0275823233926846,1,1
-0.2192217553836,-0.0742377819805162,0.0109601992869731,1,1
-0.133646579995791,-0.0428685919033996,0.0531847255308791,1,1
-0.153198758221736,-0.0662129541650957,0.122035879743193,1,1
-0.183560370005021,0.0843703178426546,0.036506387344853,1,1
-0.0637296731399153,0.040544442166488,-0.0432633773559191,1,1
-0.160061459730826,-0.0371731045255075,0.0374781323305228,1,1
-0.234742428039579,-0.0649074059713694,0.0625948226184777,1,1
0.0262568551358101,0.0111646345120894,0.0945900222960537,1,2
-0.170373229143599,0.0292383119616423,-0.00524346824468916,1,1
-0.186252145856047,0.0564901680701232,0.00380549290539919,1,1
-0.0198191857300918,-0.0588325373784796,0.0656184683924935,1,1
-0.0558358461654468,-0.0559042341835452,0.101564909375625,1,1
-0.210524406161753,0.0285223834702397,0.0265345885874886,1,1
-0.221524030086494,0.0500890796652261,-0.0235349832579314,1,1
-0.194582270209899,-0.0509398976135553,-0.0189022061483965,1,1
-0.105551668866521,-0.0448756105177736,0.0115843328361628,1,1
-0.116362656789678,-0.0394594419580716,0.0631143582007498,1,1
-0.074391288345309,0.0134144691269828,0.00645400376716773,1,1
-0.221007018827812,0.0124179100308106,-0.0148713439874689,1,1
-0.0976342717405156,0.0149633533030639,0.0328010882026333,1,1
-0.0344196679321606,0.00278181224432225,0.078415479841387,1,1
-0.197305339356786,0.00320709407363922,-0.0109970546770135,1,1
-0.130817566702623,-0.0313072997619001,0.0789782746021916,1,1
-0.207954158570204,0.029265076977227,-0.0801321273103745,1,1
-0.11654207207577,0.07728656270641,-0.0740337882173321,1,1
-0.202575151803417,0.0893447247847669,0.0769945701527792,1,1
-0.143443167942426,0.024008097317567,0.127545668508445,1,1
-0.0812318801915005,-0.0136593665188726,0.0654098908852326,1,1
-0.0983211169990287,-0.0121169115210434,0.063045483015294,1,1
-0.187070462179652,0.0373955594997237,0.0891377833022987,1,1
-0.257669918792855,-0.0500373858948659,0.0257794883494837,1,1
-0.131002144564889,0.0481800621094273,0.00909589956836304,1,1
-0.133387322430233,-0.0214391512386006,0.0814738506027844,1,1
-0.0476588541661229,0.0114890551260617,0.0382751279005066,1,1
-0.063899100425549,0.0095259355735645,-0.00756091202827573,1,1
-0.145813310482558,0.0362272330775601,-0.0254179273856383,1,1
-0.143108202670625,-0.00211625985490233,0.0723597848832057,1,1
-0.0596149684809119,-0.0665211940659036,0.00325943080909614,1,1
-0.194581298164473,-0.00175282762287336,0.0720647357200524,1,1
